Atom  COVR   GRAR   VDWR   T   ATSYMB   ATWE
 46   140    140    160   0.10   PD  106.400002
 47   160    160    170   0.10   AG  107.867996
 48   155    155    160   0.10   CD  112.400002
 49   155    155    190   0.10   IN  114.820000
 50   145    220    220   0.10   SN  118.690002
 51   145    145    210   0.10   SB  121.750000
 52   140    140    206   0.10   TE  127.599998
 53   140    140    196   0.10   I   126.904503
 54   253    253    216   0.10   XE  131.300003
 55   260    260    210   0.10   CS  132.905502
 56   200    200    210   0.10   BA  137.339996
 57   175    175    210   0.10   LA  138.905502
 58   155    155    210   0.10   CE  140.119995
 59   155    155    210   0.10   PR  140.907700
 60   155    155    210   0.10   ND  144.240005
 61   155    155    210   0.10   PM  145.000000
 62   155    155    210   0.10   SM  150.399994
 63   155    155    210   0.10   EU  151.960007
 64   155    155    210   0.10   GD  157.250000
 65   155    155    210   0.10   TB  158.925400
 66   155    155    210   0.10   DY  162.500000
 67   155    155    210   0.10   HO  164.930298
 68   155    155    210   0.10   ER  167.259995
 69   155    155    210   0.10   TM  168.934204
 70   155    155    210   0.10   YB  173.039993
 71   155    155    210   0.10   LU  174.970001
 72   155    155    210   0.10   HF  178.490005
 73   145    145    210   0.10   TA  180.947906
 74   135    135    210   0.10   W   183.850006
 75   135    135    210   0.10   RE  186.199997
 76   130    130    210   0.10   OS  190.199997
 77   135    135    210   0.10   IR  192.220001
 78   135    135    175   0.10   PT  195.089996
 79   135    135    170   0.10   AU  196.966507
 80   150    150    150   0.10   HG  200.589996
 81   190    190    200   0.10   TL  204.369995
 82   180    180    210   0.10   PB  207.199997
 83   160    160    210   0.10   BI  208.980606
 84   155    155    210   0.10   PO  209.000000
 85   155    155    210   0.10   AT  210.000000
 86   155    155    210   0.10   RN  222.000000
 87   280    280    350   0.10   FR  223.000000
 88   144    144    350   0.10   RA  226.025406
 89   195    195    350   0.10   AC  227.000000
 90   155    155    210   0.10   TH  232.038101
 91   155    155    210   0.10   PA  231.035904
 92   155    155    210   0.10   U   238.029007
 93   155    155    210   0.10   NP  237.048203
 94   155    155    210   0.10   PU  239.000000
 95   155    155    210   0.10   AM  241.000000
 96   155    155    210   0.10   CM  242.000000
 97   155    155    210   0.10   BK  247.000000
 98   155    155    210   0.10   CF  251.000000
 99    38     38    117   0.10   HB    1.008000
100    15     38    117   0.10   LP    1.000000
101    38     38    117   0.10   HB    1.008000
102   155    155    210   0.10   NO  255.000000
103   155    155    210   0.10   LR  256.000000
104    77     77    140   0.20   Q     0.000000
104    77     77    140   0.20   R     0.000000
 -1     1      1      1      1    1           1 
